PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1353,75,86,627,endgame mate mateIn2 short,https://lichess.org/n8Ff742v#69,,4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35,e8e1 g1f2 e1f1,[Event "Mate in 2\\https://lichess.org/n8Ff742v#69"][FEN "4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35"]1. e8 {e8e1 g1f2 e1f1 (0-1)}  *
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1468,76,91,563,mate mateIn2 middlegame short,https://lichess.org/71ygsFeE/black#38,Horwitz_Defense Horwitz_Defense_Other_variations,r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w kq - 0 19,e2e6 f7f8 e6f7,[Event "Mate in 2\\https://lichess.org/71ygsFeE/black#38"][FEN "r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w kq - 0 19"]1. e2 {e2e6 f7f8 e6f7 (1-0)} *
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1125,82,88,74,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42,,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 21,d1d8 e5e8 d8e8,[Event "Mate in 2\\https://lichess.org/84RH3LaP/black#42"][FEN "6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 21"]1. d1 {d1d8 e5e8 d8e8 (1-0)} *
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,80,89,223,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51,,5r1k/pp4pp/5p2/1BbQp1r1/8/7P/1PP3P1/3R3R b - - 2 26,c5f2 g2g3 f2g3,[Event "Mate in 2\\https://lichess.org/VWOIWtIh#51"][FEN "5r1k/pp4pp/5p2/1BbQp1r1/8/7P/1PP3P1/3R3R b - - 2 26"]1. c5 {c5f2 g2g3 f2g3 (0-1)}  *
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1049,80,85,208,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#58,,1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 0 29,c2h7 g8h7 g7g8q,[Event "Mate in 2\\https://lichess.org/0e1vxAEn/black#58"][FEN "1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 0 29"]1. c2 {c2h7 g8h7 g7g8q (1-0)} *
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1540,88,81,707,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53,,2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,f3d2 b1a1 c8c1,[Event "Mate in 2\\https://lichess.org/A7j9VEC0#53"][FEN "2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27"]1. f3 {f3d2 b1a1 c8c1 (0-1)}  *
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,429,103,94,1277,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48,,3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 24,d2d8 b6d8 d1d8,[Event "Mate in 2\\https://lichess.org/DuM2FZjg/black#48"][FEN "3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 24"]1. d2 {d2d8 b6d8 d1d8 (1-0)} *
004X6,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/Rr4K1 w - - 1 26,a1b1 b8b1 d2d1 b1d1,1152,266,83,14,endgame mate mateIn2 short,https://lichess.org/wvPFkjF9#51,,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1r4K1 b - - 1 26,b8b1 d2d1 b1d1,[Event "Mate in 2\\https://lichess.org/wvPFkjF9#51"][FEN "1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1r4K1 b - - 1 26"]1. b8 {b8b1 d2d1 b1d1 (0-1)}  *
005Bm,4rk2/p1q5/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 b - - 0 43,c7f7 h4g6 f8g8 f6h8,1434,74,98,541,endgame mate mateIn2 pin short,https://lichess.org/KKslCMev/black#86,,4rk2/p7/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 w - - 0 43,h4g6 f8g8 f6h8,[Event "Mate in 2\\https://lichess.org/KKslCMev/black#86"][FEN "4rk2/p7/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 w - - 0 43"]1. h4 {h4g6 f8g8 f6h8 (1-0)} *
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,450,103,94,1730,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64,,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 32,a4a8 c7b8 a8b8,[Event "Mate in 2\\https://lichess.org/jxZhmGhg/black#64"][FEN "r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 32"]1. a4 {a4a8 c7b8 a8b8 (1-0)} *
005nD,3rk2r/2qn1pp1/p1Q1R3/3n3p/8/8/PP4PP/5R1K b k - 0 23,f7e6 c6e6 d5e7 e6f7,1139,76,99,676,fork mate mateIn2 middlegame short,https://lichess.org/hlgaj6lV/black#46,,3rk2r/2qn2p1/p1Q1p3/3n3p/8/8/PP4PP/5R1K w k - 0 23,c6e6 d5e7 e6f7,[Event "Mate in 2\\https://lichess.org/hlgaj6lV/black#46"][FEN "3rk2r/2qn2p1/p1Q1p3/3n3p/8/8/PP4PP/5R1K w k - 0 23"]1. c6 {c6e6 d5e7 e6f7 (1-0)} *
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,802,92,73,267,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54,,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3R1NK1 w - - 2 27,g3b8 e6e8 b8e8,[Event "Mate in 2\\https://lichess.org/dJ3xEKJK/black#54"][FEN "6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3R1NK1 w - - 2 27"]1. g3 {g3b8 e6e8 b8e8 (1-0)} *
006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1182,75,93,980,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61,,1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 4 31,b4b3 a2a3 d1a1,[Event "Mate in 2\\https://lichess.org/ibb2c72C#61"][FEN "1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 4 31"]1. b4 {b4b3 a2a3 d1a1 (0-1)}  *
006pe,r4r2/2q1NN2/4bQpk/2n4p/pp5P/8/1PP2PP1/2KR3R b - - 0 28,e6f7 e7f5 h6h7 f6g7,1639,74,98,1280,master mate mateIn2 middlegame pin short,https://lichess.org/gkSEAS27/black#56,,r4r2/2q1Nb2/5Qpk/2n4p/pp5P/8/1PP2PP1/2KR3R w - - 0 28,e7f5 h6h7 f6g7,[Event "Mate in 2\\https://lichess.org/gkSEAS27/black#56"][FEN "r4r2/2q1Nb2/5Qpk/2n4p/pp5P/8/1PP2PP1/2KR3R w - - 0 28"]1. e7 {e7f5 h6h7 f6g7 (1-0)} *
